"SF","logMstar","logvelDisp_e","logRproj_rvir","TType"
0,10.865,2.15655274552235,-0.37990654930594,-1.12666380405426
0,10.559,2.08619475362137,0.254478349291367,-1.92514765262604
0,10.516,2.08001751593441,0.599786511262952,-1.7879353761673
1,10.657,2.127726811832,0.00910525005917889,-2.26536178588867
1,10.876,2.15148125648244,-0.111963505603286,-2.06552791595459
0,10.527,2.06969495716183,-1.0672413767188,-2.46411848068237
0,10.609,2.07539408330551,-0.119597712942522,-2.29583883285522
0,10.987,2.23792731658955,-0.457896298776369,-1.90757310390472
0,10.622,2.15762161447206,-0.177624845527711,-1.79263508319855
0,10.641,2.12374354756663,-0.268994740853044,-1.40399706363678
1,10.554,1.8859923477191,-0.923144236208118,3.7125039100647
0,10.5,2.10550725192814,-1.06875270723509,-2.26080989837646
1,10.519,2.16041838006193,-0.163147085856227,-2.13496828079224
0,10.998,2.33816633423012,-0.825102437373789,-2.13022947311401
0,10.897,2.13024180200794,-0.0520913551729718,-2.2894868850708
0,10.588,2.29146007258858,-1.17617706505905,-2.55551671981812
0,11.194,2.4196536086532,-1.27060509770162,-2.35240793228149
0,11.098,2.36606864740703,-0.916986511578498,-2.28898334503174
0,10.734,2.19124666191892,1.20811370310122,-2.16805839538574
0,10.623,2.10795268297404,-0.175102324205186,-2.02714014053345
1,10.673,1.99533946355969,-0.213537323651984,2.03710079193115
1,10.561,2.00608305808817,-0.247260049445474,2.7685751914978
0,10.563,2.08408462173601,-0.166591406659028,-1.67607295513153
1,10.809,2.13226681339008,0.0541912960912853,0.721916913986206
0,10.524,2.17480948949823,-0.495670179803226,-2.41833829879761
0,10.56,2.16604930663899,0.00913881773728025,-2.2207202911377
0,10.528,2.04938866727881,-0.503899892486584,-2.23495054244995
1,10.622,2.01319922055498,-0.0549515893644646,1.19371795654297
0,10.621,2.17266340075433,-0.647231839826423,-2.25828123092651
1,10.522,2.11909878690509,0.275136361350381,1.22962689399719
0,11.19,2.2271829892013,-0.941261557675274,-1.5846711397171
1,10.79,1.92612286832811,0.0456563448886107,3.63603353500366
1,10.553,1.88239731432967,1.21240148612674,3.1429328918457
1,10.829,2.31577727758275,-0.0117457096294519,-2.22127532958984
0,10.691,2.17982431859872,0.806062998360808,0.364807188510895
0,10.667,2.05299348261128,0.80350589849396,-2.305335521698
0,10.691,2.22798707694735,0.67011215518945,-1.45268523693085
0,10.52,2.18324464356325,0.95406069884014,-2.14836692810059
0,10.699,2.21313919774999,0.237485476347171,-1.89017760753632
1,10.571,2.07728460818118,0.80686745562726,1.58309030532837
1,10.589,2.04216157515641,1.08942350679635,1.92401075363159
1,10.59,2.09008101818741,0.59187751506371,-1.91527426242828
1,10.662,1.90905785023345,0.490106261246604,2.98739290237427
1,10.539,2.0715252763785,0.663282902050293,1.92599213123322
1,10.807,2.10469701780646,0.571572803285652,-1.40988528728485
0,10.561,2.1008051348267,1.13990655966914,2.25975179672241
1,10.582,2.09947905501449,0.901348221889151,1.6550920009613
0,10.733,2.26015564427803,0.962579697622597,-2.28624200820923
1,10.779,2.17727312292339,0.50026530478591,-2.26777791976929
1,10.79,2.16119265182392,0.755973538958561,0.231245577335358
0,10.859,2.19499685826101,0.99541378462314,-0.48950207233429
1,10.73,1.95245511011984,1.12371924600921,1.91472685337067
